timestamp,scan_idx,meas_idx,angle_deg,distance_mm,quality,x_mm,y_mm
2025-11-07T13:19:04.960Z,0,121,191.203,1450.8,15,-1423.1,-281.9
2025-11-07T13:19:04.960Z,0,122,192.609,1338.5,15,-1306.2,-292.2
2025-11-07T13:19:04.960Z,0,123,193.953,1240.0,15,-1203.4,-299.0
2025-11-07T13:19:04.960Z,0,124,195.219,1195.8,15,-1153.8,-313.9
2025-11-07T13:19:04.960Z,0,125,198.344,780.2,15,-740.6,-245.6
2025-11-07T13:19:04.960Z,0,126,199.766,756.5,15,-711.9,-255.8
2025-11-07T13:19:04.960Z,0,127,201.062,750.0,15,-699.9,-269.5
2025-11-07T13:19:04.960Z,0,128,202.328,750.8,15,-694.5,-285.2
2025-11-07T13:19:04.960Z,0,129,203.500,756.8,15,-694.0,-301.8
2025-11-07T13:19:04.960Z,0,130,204.953,777.5,15,-704.9,-328.0
2025-11-07T13:19:04.960Z,0,131,206.172,749.5,15,-672.7,-330.6
2025-11-07T13:19:04.960Z,0,132,207.625,727.2,15,-644.3,-337.2
2025-11-07T13:19:04.960Z,0,133,208.859,718.8,15,-629.5,-346.9
2025-11-07T13:19:04.960Z,0,134,210.234,717.8,15,-620.1,-361.4
2025-11-07T13:19:04.960Z,0,135,211.500,720.5,15,-614.3,-376.5
2025-11-07T13:19:04.960Z,0,136,212.641,731.0,15,-615.6,-394.3
2025-11-07T13:19:04.960Z,0,137,213.812,757.2,15,-629.2,-421.4
2025-11-07T13:19:04.960Z,0,138,216.750,1485.0,15,-1189.9,-888.5
2025-11-07T13:19:04.960Z,0,139,217.984,1516.0,15,-1194.9,-933.0
2025-11-07T13:19:04.960Z,0,140,219.234,1546.2,15,-1197.7,-978.0
2025-11-07T13:19:04.960Z,0,141,220.516,1576.8,15,-1198.7,-1024.3
2025-11-07T13:19:04.960Z,0,142,221.781,1615.8,15,-1204.9,-1076.6
2025-11-07T13:19:04.960Z,0,143,223.047,1646.8,15,-1203.4,-1124.1
2025-11-07T13:19:04.960Z,0,144,224.266,1688.0,15,-1208.8,-1178.2
2025-11-07T13:19:04.960Z,0,145,225.562,1738.0,15,-1216.8,-1241.0
2025-11-07T13:19:04.960Z,0,146,226.844,1780.0,15,-1217.5,-1298.5
2025-11-07T13:19:04.960Z,0,147,228.109,1831.2,15,-1222.7,-1363.2
2025-11-07T13:19:04.960Z,0,148,229.359,1883.5,15,-1226.7,-1429.2
2025-11-07T13:19:04.960Z,0,149,230.625,1938.0,15,-1229.5,-1498.1
2025-11-07T13:19:04.960Z,0,150,231.922,2004.0,15,-1235.9,-1577.5
2025-11-07T13:19:04.960Z,0,151,233.188,1968.2,15,-1179.4,-1575.8
2025-11-07T13:19:04.960Z,0,152,234.484,1938.2,15,-1126.0,-1577.7
